ID,ASIGNATURA,NIVEL,REQUISITO,SCT
1,Introducción a las Matemáticas,1,,9
2,Introducción a la Ingeniería,1,,8
3,Fundamentos de Gestión,1,,5
4,Tecnologías para la Gestión,1,,5
5,Electivo de Desarrollo del Pensamiento,1,,3
6,Álgebra,2,1,8
7,Cálculo I,2,1,7
8,Química y Medio Ambiente,2,,8
9,Programación,2,4,4
10,Electivo de Comunicación,2,,3
11,Álgebra Lineal,3,6,6
12,Cálculo II,3,7,7
13,Física Mecánica,3,7,6
14,Probabilidad y Estadística,3,6,4
15,Programación Avanzada,3,9,4
16,Electivo de Comunicación,3,,3
17,Cálculo III,4,12,7
18,Ciencia y Resistencia de Materiales,4,13,6
19,Teoría Organizacional,4,3,5
20,Taller de Aplicación Industrial,4,14,8
21,Inglés Técnico I,4,,4
22,Ecuaciones Diferenciales,5,17,6
23,Mecánica de Fluidos,5,13,4
24,Optimización,5,11,7
25,Inferencia Estadística,5,14,5
26,Contabilidad y Costos,5,,4
27,Inglés Técnico II,5,21,4
28,Electricidad y Electromagnetismo,6,22,7
29,Termodinámica,6,22,6
30,Investigación Operativa,6,24,6
31,Microeconomía,6,26,8
32,Electivo de Desarrollo Personal,6,,3
33,Electrónica y Electrotecnia,7,28,6
34,Gestión de Operaciones I,7,30,6
35,Especialidad I,7,19,4
36,Macroeconomía,7,31,5
37,Ingeniería Económica,7,26,5
38,Inglés Técnico III,7,27,4
39,Gestión de Operaciones II,8,34,5
40,Consultoría de Empresas,8,35,5
41,Gestión Estratégica,8,36,6
42,E Commerce & E Business,8,15,4
43,Finanzas,8,37,6
44,Inglés Técnico IV,8,38,4
45,Procesos Industriales,9,39,6
46,Especialidad II,9,35,4
47,Innovación y Emprendimiento,9,41,6
48,Formulación y Evaluación de Proyectos,9,37,6
49,Economía y Desarrollo Regional,9,37,5
50,Electivo de Ética,9,,3
51,Simulación de Procesos,10,45,6
52,Derecho de Empresa Ambiental,10,,5
53,Marketing,10,47,5
54,Administración y Dirección de Proyectos,10,48,6
55,Plan de Negocios (A+S),10,48,5
56,Electivo de Responsabilidad Social,10,,3
57,Especialidad III,11,46,4
58,Trabajo de Título,11,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56",18
P1,Práctica I,7.5,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38",12
P2,Práctica II,9.5,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50",12
